Target,cg00219921,cg00636427,cg00771778,cg00849570,cg01639201,cg01884715,cg04115006,cg04537602,cg04603130,cg04635849,cg05350315,cg05496363,cg05501357,cg06243638,cg06734169,cg08641579,cg09174690,cg09894276,cg11276456,cg11374732,cg11913894,cg11963436,cg11993925,cg12176476,cg12697442,cg14046074,cg15573998,cg15692052,cg15989608,cg16277479,cg16397722,cg16583193,cg17184477,cg17374802,cg17458101,cg17983571,cg18036763,cg19048327,cg19064302,cg19486047,cg20432680,cg20500144,cg21040096,cg21158528,cg22205544,cg22755445,cg24427243,cg25613180,cg25783497,cg26788916
RA_99,0.917616651,0.961323667,0.807981243,0.446902249,0.00865329,0.94452717,0.93723678,0.596717628,0.788702212,0.952566106,0.61123816,0.921748684,0.545226541,0.700338983,0.011664833,,0.617894249,0.839089736,0.007716357,0.971286284,0.007476466,0.977763844,0.275849478,0.005506398,0.042646316,0.920407232,0.943779571,0.809132011,0.156567993,0.056826735,0.968637057,0.930899907,0.033400245,0.877031019,0.005645989,0.930409892,0.034994553,0.913793103,0.006352806,0.915359287,0.960924601,0.005082982,0.779728484,0.006218381,0.713142481,0.671589088,0.010617856,0.605528834,0.961676224,0.024206656
RA_98,0.965964597,0.966006106,0.823372345,0.427509771,0.00995437,0.9556677,0.947054405,0.614290046,0.704043707,0.885468637,0.729272438,0.938387979,0.366479441,0.712730807,0.008521863,,0.524988853,0.818138606,0.00697308,0.974113987,0.008843937,0.97982922,0.347706867,0.007443443,0.021288524,0.911436367,0.975786925,0.900809222,0.185844448,0.028913523,0.975872256,0.976080565,0.032027925,0.8782132,0.006637737,0.967592881,0.01123366,0.916389894,0.007081278,0.926569775,0.98147825,0.005798926,0.913235344,0.005500032,0.732548075,0.665980914,0.010669091,0.569564166,0.956911266,0.013926639
RA_96,0.897950862,0.967258888,0.724843941,0.42311969,0.006666406,0.936241453,0.944801938,0.639301626,0.693663431,0.873485014,0.631437351,0.923474299,0.395046241,0.713598075,0.00887176,,0.507013817,0.876333594,0.005368372,0.967085541,0.007573056,0.978682796,0.307433738,0.004539137,0.020562547,0.922462955,0.964379947,0.859824383,0.177040548,0.039257231,0.966519112,0.976773555,0.030787006,0.865328365,0.006961145,0.980645161,0.007905138,0.919123506,0.005635433,0.904720517,0.977543436,0.005972644,0.896632725,0.007087534,0.649624883,0.654748905,0.008928559,0.558066712,0.951813707,0.015293628
RA_95,0.939151635,0.96706512,0.802785845,0.399181666,0.011061075,0.957939165,0.934454652,0.576597771,0.743855265,0.874119246,0.632948817,0.913714583,0.472219415,0.747771369,0.005186884,,0.544008694,0.689598074,0.006810323,0.976094599,0.007976915,0.980633338,0.346690584,0.004648425,0.023111649,0.903148396,0.962704775,0.795851805,0.131875616,0.042812992,0.969885937,0.972342667,0.03523572,0.84881187,0.007051275,0.979046499,0.026515152,0.883333633,0.006617452,0.920780409,0.978738418,0.006824916,0.923204842,0.008227356,0.645263166,0.677808605,0.01045496,0.612632286,0.959313494,0.012360815
RA_91,0.951278885,0.960452539,0.826665343,0.376013263,0.010460544,0.950242769,0.943557656,0.621005205,0.414877819,0.889681386,0.654075195,0.907744878,0.450762899,0.687913704,0.008601431,,0.468181122,0.594709232,0.006861799,0.971704326,0.007889078,0.983128982,0.309261668,0.005915138,0.021841385,0.938920258,0.96373365,0.795091411,0.163138602,0.03363165,0.974030943,0.97734171,0.037454716,0.859594109,0.006556658,0.97336757,0.034676834,0.920505302,0.007017163,0.932662093,0.97838027,0.007831282,0.922739582,0.008077392,0.669469709,0.686313604,0.009489147,0.602736623,0.96891087,0.015824193
RA_9,0.953724735,0.960762092,0.793679993,0.430333515,0.009234482,0.952206129,0.934941733,0.471329825,0.589310645,0.80939676,0.682193029,0.923707034,0.385556248,0.693498452,0.007898117,,0.523326787,0.554264195,0.006179118,0.970012369,0.007725402,0.984570074,0.276076722,0.004938036,0.022741635,0.915422105,0.958347107,0.842589645,0.142263636,0.037890846,0.96760724,0.973935929,0.028590049,0.841406837,0.006868125,0.971326848,0.017278052,0.901418468,0.008772756,0.901678631,0.980596026,0.007613181,0.914343166,0.007154894,0.67472119,0.647725625,0.011142602,0.562390533,0.958073268,0.013610757
RA_88,0.956067971,0.966909368,0.838309809,0.440171559,0.00934946,0.944278141,0.927890761,0.566229432,0.725336643,0.94257528,0.582485968,0.930182032,0.509529754,0.708333333,0.007786082,,0.624149183,0.857800635,0.00694254,0.970626148,0.008962189,0.97779211,0.294630252,0.00653656,0.016618312,0.931236309,0.954112038,0.776295683,0.217080832,0.046105907,0.96418565,0.976969157,0.030625877,0.860354454,0.006493187,0.979806357,0.016203704,0.895689049,0.007417208,0.892361111,0.977881399,0.006492491,0.919477201,0.007616737,0.636325881,0.709317865,0.013563979,0.625299466,0.962003556,0.015482836
RA_86,0.919716955,0.956374066,0.810287367,0.431013795,0.00980396,0.941425593,0.913160444,0.589280824,0.756234689,0.858191003,0.574130885,0.876440695,0.495230782,0.687767322,0.005447946,,0.658092011,0.852936992,0.007735578,0.973360873,0.009346338,0.983870968,0.292741939,0.003719294,0.034770311,0.915141377,0.930486594,0.841735367,0.171768471,0.038970586,0.975555025,0.966712933,0.035610895,0.850167252,0.005713,0.967892157,0.011857708,0.873857565,0.005182038,0.915062479,0.977601331,0.00884853,0.897064982,0.006652337,0.756400768,0.646029735,0.007192306,0.610043429,0.961558847,0.022676064
RA_85,0.957348642,0.961060203,0.808671344,0.387786212,0.0091007,0.946541169,0.926347778,0.492397807,0.741165347,0.866620875,0.570338416,0.925229526,0.520692686,0.707461084,0.0066423,,0.54685687,0.738239985,0.00543038,0.968375433,0.007190266,0.982337963,0.313286145,0.006172562,0.025120297,0.899948595,0.925579504,0.826583423,0.185548123,0.050160499,0.969469817,0.977351621,0.037156127,0.860815073,0.008371631,0.970306688,0.025,0.881326503,0.005922153,0.901153104,0.97172684,0.006242494,0.901909997,0.006758221,0.736937437,0.692458452,0.010379448,0.643098848,0.956308208,0.020106884
RA_84,0.948006028,0.96489298,0.8192962,0.465261879,0.008946996,0.95765435,0.929288665,0.603986124,0.472212457,0.872762605,0.656859807,0.942207459,0.429459196,0.731533209,0.005592848,,0.567720486,0.531859691,0.005672807,0.969743472,0.007443455,0.980887477,0.296808681,0.005960184,0.026099291,0.920356456,0.94946957,0.827258943,0.134299238,0.03607313,0.975560646,0.975888062,0.028349132,0.880110067,0.007603629,0.964342256,0.014423077,0.911023944,0.005783255,0.920943355,0.979143052,0.007171184,0.912520798,0.006629137,0.69491019,0.682958991,0.011329952,0.623796073,0.96544475,0.014146589
